route_id,service_id,trip_id,direction_id,shape_id
3812,135663,65019644,1,track-168421
3812,135663,65019645,0,track-168420
3812,135663,65019646,1,track-168421
3812,135663,65019647,0,track-168420
3812,135663,65019648,1,track-168421
3812,135663,65019650,0,track-168420
3812,135663,65019651,1,track-168421
3812,135663,65019652,0,track-168420
3812,135663,65019653,1,track-168421
3812,135663,65019655,0,track-168420
3812,135663,65019656,1,track-168421
3812,135663,65019657,0,track-168420
3812,135663,65019658,1,track-168421
3812,135663,65019659,0,track-168420
3812,135663,65019660,1,track-168421
3812,135663,65019662,0,track-168420
3812,135663,65019663,1,track-168421
3812,135663,65019664,0,track-168420
3812,135663,65019665,1,track-168421
3812,135663,65019667,1,track-168421
3812,135663,65019668,0,track-168420
3812,135663,65019669,1,track-168421
3812,135663,65019670,0,track-168420
3812,135663,65019671,1,track-168421
3812,135663,65019673,0,track-168420
3812,135663,65019674,1,track-168421
3812,135663,65019675,0,track-168420
3812,135663,65019676,1,track-168421
3812,135663,65019678,0,track-168420
3812,135663,65019679,1,track-168421
3812,135663,65019680,0,track-168420
3812,135663,65019681,1,track-168421
3812,135663,65019682,0,track-168420
3812,135663,65019683,1,track-168421
3812,135663,65019685,0,track-168420
3812,135663,65019686,1,track-168421
3812,135663,65019687,0,track-168420
3812,135663,65019688,1,track-168421
3812,135663,65019689,0,track-168420
3812,135663,65019690,1,track-168421
3812,135663,65019692,1,track-168421
3812,135663,65019693,0,track-168420
3812,135663,65019694,1,track-168421
3812,135663,65019695,0,track-168420
3812,135663,65019696,1,track-168421
3812,135663,65019698,0,track-168420
3812,135663,65019699,1,track-168421
3812,135663,65019700,0,track-168420
3812,135663,65019701,1,track-168421
3812,135663,65019703,0,track-168420
3812,135663,65019704,1,track-168421
3812,135663,65019705,0,track-168420
3812,135663,65019706,1,track-168421
3812,135663,65019708,0,track-168420
3812,135663,65019709,1,track-168421
3812,135663,65019710,0,track-168420
3812,135663,65019711,1,track-168421
3812,135663,65019712,0,track-168420
3812,135663,65019713,1,track-168421
3812,135663,65019714,0,track-168420
3812,135663,65019716,1,track-168421
3812,135663,65019717,0,track-168420
3812,135663,65019718,1,track-168421
3812,135663,65019719,0,track-168420
3812,135663,65019720,1,track-168421
3812,135663,65019722,0,track-168420
3812,135663,65019723,1,track-168421
3812,135663,65019725,0,track-168420
3812,135663,65019726,1,track-168421
3812,135663,65019728,0,track-168420
3812,135663,65019729,1,track-168421
3812,135663,65019730,0,track-168420
3812,135663,65019731,1,track-168421
3812,135663,65019733,0,track-168420
3812,135663,65019734,1,track-168421
3812,135663,65019735,0,track-168420
3812,135663,65019736,1,track-168421
3812,135663,65019737,0,track-168420
3812,135663,65019738,1,track-168421
3812,135663,65019739,0,track-168420
3812,135663,65019741,0,track-168420
3812,135663,65019742,1,track-168421
3812,135663,65019743,0,track-168420
3812,135663,65019744,1,track-168421
3812,135663,65019745,0,track-168420
3812,135663,65019746,1,track-168421
3812,135663,65019748,0,track-168420
3812,135663,65019749,1,track-168421
3812,135663,65019750,0,track-168420
3812,135663,65019751,1,track-168421
3812,135663,65019753,0,track-168420
3812,135663,65019754,1,track-168421
3812,135663,65019755,0,track-168420
3812,135663,65019756,1,track-168421
3812,135663,65019758,1,track-168421
3812,135663,65019759,0,track-168420
3812,135663,65019760,1,track-168421
3812,135663,65019761,0,track-168420
3812,135663,65019762,1,track-168421
3812,135663,65019764,0,track-168420
3812,135663,65019765,1,track-168421
3812,135663,65019766,0,track-168420
3812,135663,65019767,1,track-168421
3812,135663,65019769,0,track-168420
3812,135663,65019770,1,track-168421
3812,135663,65019771,0,track-168420
3812,135663,65019772,1,track-168421
3812,135663,65019774,0,track-168420
3812,135663,65019775,1,track-168421
3812,135663,65019776,0,track-168420
3812,135663,65019777,1,track-168421
3812,135663,65019778,0,track-168420
3812,135663,65019779,1,track-168421
3812,135663,65019780,0,track-168420
3812,135663,65019782,0,track-168420
3812,135663,65019783,1,track-168421
3812,135663,65019784,0,track-168420
3812,135663,65019785,1,track-168421
3812,135663,65019786,0,track-168420
3812,135663,65019787,1,track-168421
3812,135663,65019789,0,track-168420
3812,135663,65019790,1,track-168421
3812,135663,65019791,0,track-168420
3812,135663,65019792,1,track-168421
3812,135663,65019794,0,track-168420
3812,135663,65019795,1,track-168421
3812,135663,65019796,0,track-168420
3812,135663,65019797,1,track-168421
3812,135663,65019799,1,track-168421
3812,135663,65019800,0,track-168420
3812,135663,65019801,1,track-168421
3812,135663,65019802,0,track-168420
3812,135663,65019803,1,track-168421
3812,135663,65019805,0,track-168420
3812,135663,65019806,1,track-168421
3812,135663,65019808,0,track-168420
3812,135663,65019809,1,track-168421
3812,135663,65019811,0,track-168420
3812,135663,65019812,1,track-168421
3812,135663,65019813,0,track-168420
3812,135663,65019814,1,track-168421
3812,135663,65019816,0,track-168420
3812,135663,65019817,1,track-168421
3812,135663,65019818,0,track-168420
3812,135663,65019819,1,track-168421
3812,135663,65019820,0,track-168420
3812,135663,65019821,1,track-168421
3812,135663,65019823,1,track-168421
3812,135663,65019824,0,track-168420
3812,135663,65019825,1,track-168421
3812,135663,65019826,0,track-168420
3812,135663,65019827,1,track-168421
3812,135663,65019829,0,track-168420
3812,135663,65019830,1,track-168421
3812,135663,65019831,0,track-168420
3812,135663,65019832,1,track-168421
3812,135663,65019834,0,track-168420
3812,135663,65019835,1,track-168421
3812,135663,65019836,0,track-168420
3812,135663,65019837,1,track-168421
3812,135663,65019839,0,track-168420
3812,135663,65019840,1,track-168421
3812,135663,65019841,0,track-168420
3812,135663,65019842,1,track-168421
3812,135663,65019843,0,track-168420
3812,135663,65019844,1,track-168421
3812,135663,65019846,1,track-168421
3812,135663,65019847,0,track-168420
3812,135663,65019848,1,track-168421
3812,135663,65019849,0,track-168420
3812,135663,65019850,1,track-168421
3812,135663,65019852,0,track-168420
3812,135663,65019853,1,track-168421
3812,135663,65019854,0,track-168420
3812,135663,65019855,1,track-168421
3812,135663,65019857,0,track-168420
3812,135663,65019858,1,track-168421
3812,135663,65019859,0,track-168420
3812,135663,65019860,1,track-168421
3812,135663,65019862,1,track-168421
3812,135663,65019863,0,track-168420
3812,135663,65019864,1,track-168421
3812,135663,65019865,0,track-168420
3812,135663,65019866,1,track-168421
3812,135663,65019868,0,track-168420
3812,135663,65019869,1,track-168421
3812,135663,65019870,0,track-168420
3812,135663,65019871,1,track-168421
3812,135663,65019873,0,track-168420
3812,135663,65019874,1,track-168421
3812,135663,65019875,0,track-168420
3812,135663,65019876,1,track-168421
3812,135663,65019878,0,track-168420
3812,135663,65019879,1,track-168421
3812,135663,65019880,0,track-168420
3812,135663,65019881,1,track-168421
3812,135663,65019883,0,track-168420
3812,135663,65019884,1,track-168421
3812,135663,65019885,0,track-168420
3812,135663,65019886,1,track-168421
3812,135663,65019888,0,track-168420
3812,135663,65019889,1,track-168421
3812,135663,65019890,0,track-168420
3812,135663,65019891,1,track-168421
3812,135663,65019892,0,track-168420
3812,135663,65019893,1,track-168421
3812,135663,65019895,0,track-168420
3812,135663,65019896,1,track-168421
3812,135663,65019897,0,track-168420
3812,135663,65019898,1,track-168421
3812,135663,65019899,0,track-168420
3812,135663,65019900,1,track-168421
3812,135663,65019902,0,track-168420
3812,135663,65019903,1,track-168421
3812,135663,65019904,0,track-168420
3812,135663,65019905,1,track-168421
3812,135663,65019906,0,track-168420
3812,135663,65019907,1,track-168421
3812,135663,65019908,0,track-168420
3812,135663,65019910,0,track-168420
3812,135663,65019911,1,track-168421
3812,135663,65019912,0,track-168420
3812,135663,65019913,1,track-168421
3812,135663,65019915,0,track-168420
3812,135663,65019916,1,track-168421
3812,135663,65019917,0,track-168420
3812,135663,65019918,1,track-168421
3812,135663,65019920,0,track-168420
3812,135663,65019921,1,track-168421
3812,135663,65019922,0,track-168420
3812,135663,65019923,1,track-168421
3812,135663,65019925,1,track-168421
3812,135663,65019926,0,track-168420
3812,135663,65019927,1,track-168421
3812,135663,65019928,0,track-168420
3812,135663,65019929,1,track-168421
3812,135663,65019931,0,track-168420
3812,135663,65019932,1,track-168421
3812,135663,65019933,0,track-168420
3812,135663,65019934,1,track-168421
3812,135663,65019935,0,track-168420
3812,135663,65019936,1,track-168421
3812,135663,65019937,0,track-168420
3812,135663,65019938,1,track-168421
3812,135663,65019940,0,track-168420
3812,135663,65019941,1,track-168421
3812,135663,65019942,0,track-168420
3812,135663,65019943,1,track-168421
3812,135663,65019945,0,track-168420
3812,135663,65019946,1,track-168421
3812,135663,65019947,0,track-168420
3812,135663,65019948,1,track-168421
3812,135663,65019950,0,track-168420
3812,135663,65019951,1,track-168421
3812,135663,65019952,0,track-168420
3812,135663,65019953,1,track-168421
3812,135663,65019955,0,track-168420
3812,135663,65019956,1,track-168421
3812,135663,65019957,0,track-168420
3812,135663,65019958,1,track-168421
3812,135663,65019960,0,track-168420
3812,135663,65019961,1,track-168421
3812,135663,65019962,0,track-168420
3812,135663,65019963,1,track-168421
3812,135663,65019965,0,track-168420
3812,135663,65019966,1,track-168421
3812,135663,65019967,0,track-168420
3812,135663,65019968,1,track-168421
3812,135663,65019970,0,track-168420
3812,135663,65019971,1,track-168421
3812,135663,65019972,0,track-168420
3812,135663,65019973,1,track-168421
3812,135663,65019975,0,track-168420
3812,135663,65019976,1,track-168421
3812,135663,65019977,0,track-168420
3812,135663,65019978,1,track-168421
3812,135663,65019980,0,track-168420
3812,135663,65019981,1,track-168421
3812,135663,65019982,0,track-168420
3812,135663,65019983,1,track-168421
3812,135663,65019985,0,track-168420
3812,135663,65019986,1,track-168421
3812,135663,65019987,0,track-168420
3812,135663,65019988,1,track-168421
3812,135663,65019990,0,track-168420
3812,135663,65019991,1,track-168421
3812,135663,65019992,0,track-168420
3812,135663,65019993,1,track-168421
3812,135663,65019995,0,track-168420
3812,135663,65019996,1,track-168421
3812,135663,65019997,0,track-168420
3812,135663,65019998,1,track-168421
3812,135664,65021147,1,track-168421
3812,135664,65021148,0,track-168420
3812,135664,65021149,1,track-168421
3812,135664,65021150,0,track-168420
3812,135664,65021151,1,track-168421
3812,135664,65021153,0,track-168420
3812,135664,65021154,1,track-168421
3812,135664,65021155,0,track-168420
3812,135664,65021156,1,track-168421
3812,135664,65021158,0,track-168420
3812,135664,65021159,1,track-168421
3812,135664,65021161,0,track-168420
3812,135664,65021162,1,track-168421
3812,135664,65021163,0,track-168420
3812,135664,65021164,1,track-168421
3812,135664,65021166,0,track-168420
3812,135664,65021167,1,track-168421
3812,135664,65021168,0,track-168420
3812,135664,65021169,1,track-168421
3812,135664,65021171,0,track-168420
3812,135664,65021172,1,track-168421
3812,135664,65021174,1,track-168421
3812,135664,65021175,0,track-168420
3812,135664,65021176,1,track-168421
3812,135664,65021177,0,track-168420
3812,135664,65021178,1,track-168421
3812,135664,65021180,0,track-168420
3812,135664,65021181,1,track-168421
3812,135664,65021182,0,track-168420
3812,135664,65021183,1,track-168421
3812,135664,65021184,0,track-168420
3812,135664,65021185,1,track-168421
3812,135664,65021187,0,track-168420
3812,135664,65021189,0,track-168420
3812,135664,65021190,1,track-168421
3812,135664,65021191,0,track-168420
3812,135664,65021192,1,track-168421
3812,135664,65021193,0,track-168420
3812,135664,65021194,1,track-168421
3812,135664,65021196,0,track-168420
3812,135664,65021197,1,track-168421
3812,135664,65021198,0,track-168420
3812,135664,65021199,1,track-168421
3812,135664,65021201,0,track-168420
3812,135664,65021202,1,track-168421
3812,135664,65021203,0,track-168420
3812,135664,65021204,1,track-168421
3812,135664,65021205,0,track-168420
3812,135664,65021206,1,track-168421
3812,135664,65021208,0,track-168420
3812,135664,65021209,1,track-168421
3812,135664,65021210,0,track-168420
3812,135664,65021211,1,track-168421
3812,135664,65021213,1,track-168421
3812,135664,65021214,0,track-168420
3812,135664,65021215,1,track-168421
3812,135664,65021216,0,track-168420
3812,135664,65021217,1,track-168421
3812,135664,65021219,0,track-168420
3812,135664,65021220,1,track-168421
3812,135664,65021221,0,track-168420
3812,135664,65021222,1,track-168421
3812,135664,65021224,0,track-168420
3812,135664,65021225,1,track-168421
3812,135664,65021227,0,track-168420
3812,135664,65021228,1,track-168421
3812,135664,65021229,0,track-168420
3812,135664,65021230,1,track-168421
3812,135664,65021232,0,track-168420
3812,135664,65021233,1,track-168421
3812,135664,65021234,0,track-168420
3812,135664,65021235,1,track-168421
3812,135664,65021237,0,track-168420
3812,135664,65021238,1,track-168421
3812,135664,65021240,1,track-168421
3812,135664,65021241,0,track-168420
3812,135664,65021242,1,track-168421
3812,135664,65021243,0,track-168420
3812,135664,65021244,1,track-168421
3812,135664,65021246,0,track-168420
3812,135664,65021247,1,track-168421
3812,135664,65021248,0,track-168420
3812,135664,65021249,1,track-168421
3812,135664,65021251,0,track-168420
3812,135664,65021252,1,track-168421
3812,135664,65021254,0,track-168420
3812,135664,65021255,1,track-168421
3812,135664,65021256,0,track-168420
3812,135664,65021257,1,track-168421
3812,135664,65021259,0,track-168420
3812,135664,65021260,1,track-168421
3812,135664,65021262,0,track-168420
3812,135664,65021263,1,track-168421
3812,135664,65021264,0,track-168420
3812,135664,65021266,0,track-168420
3812,135664,65021267,1,track-168421
3812,135664,65021268,0,track-168420
3812,135664,65021269,1,track-168421
3812,135664,65021271,0,track-168420
3812,135664,65021272,1,track-168421
3812,135664,65021274,0,track-168420
3812,135664,65021275,1,track-168421
3812,135664,65021276,0,track-168420
3812,135664,65021277,1,track-168421
3812,135664,65021278,0,track-168420
3812,135664,65021279,1,track-168421
3812,135664,65021281,0,track-168420
3812,135664,65021282,1,track-168421
3812,135664,65021283,0,track-168420
3812,135664,65021284,1,track-168421
3812,135664,65021286,0,track-168420
3812,135664,65021287,1,track-168421
3812,135664,65021288,0,track-168420
3812,135664,65021289,1,track-168421
3812,135664,65021290,0,track-168420
3812,135664,65021291,1,track-168421
3812,135664,65021293,0,track-168420
3812,135664,65021294,1,track-168421
3812,135664,65021296,0,track-168420
3812,135664,65021297,1,track-168421
3812,135664,65021298,0,track-168420
3812,135664,65021299,1,track-168421
3812,135664,65021301,0,track-168420
3812,135664,65021302,1,track-168421
3812,135664,65021303,0,track-168420
3812,135664,65021304,1,track-168421
3812,135664,65021306,0,track-168420
3812,135664,65021307,1,track-168421
3812,135664,65021308,0,track-168420
3812,135664,65021309,1,track-168421
3812,135664,65021311,0,track-168420
3812,135664,65021312,1,track-168421
3812,135664,65021313,0,track-168420
3812,135664,65021314,1,track-168421
3812,135664,65021316,0,track-168420
3812,135664,65021317,1,track-168421
3812,135664,65021318,0,track-168420
3812,135664,65021319,1,track-168421
3812,135664,65021321,0,track-168420
3812,135664,65021322,1,track-168421
3812,135664,65021323,0,track-168420
3812,135664,65021324,1,track-168421
3812,135664,65021326,0,track-168420
3812,135664,65021327,1,track-168421
3812,135664,65021328,0,track-168420
3812,135664,65021329,1,track-168421
3812,135664,65021330,0,track-168420
3812,135664,65021331,1,track-168421
3812,135664,65021333,0,track-168420
3812,135664,65021334,1,track-168421
3812,135664,65021336,0,track-168420
3812,135664,65021337,1,track-168421
3812,135664,65021338,0,track-168420
3812,135664,65021339,1,track-168421
3812,135664,65021340,0,track-168420
3812,135664,65021342,0,track-168420
3812,135664,65021343,1,track-168421
3812,135664,65021344,0,track-168420
3812,135664,65021345,1,track-168421
3812,135664,65021346,0,track-168420
3812,135664,65021347,1,track-168421
3812,135664,65021349,0,track-168420
3812,135664,65021350,1,track-168421
3812,135664,65021352,0,track-168420
3812,135664,65021353,1,track-168421
3812,135664,65021354,0,track-168420
3812,135664,65021355,1,track-168421
3918,130398,64882276,1,track-168163
3918,130398,64882277,0,track-168162
3918,130398,64882278,1,track-168163
3918,130398,64882279,0,track-168162
3918,130398,64882280,1,track-168163
3918,130398,64882281,0,track-168162
3918,130398,64882282,1,track-168163
3918,130398,64882283,0,track-168162
3918,130398,64882284,1,track-168163
3918,130398,64882286,0,track-168162
3918,130398,64882287,1,track-168163
3918,130398,64882288,0,track-168162
3918,130398,64882289,1,track-168163
3918,130398,64882290,0,track-168162
3918,130398,64882291,1,track-168163
3918,130398,64882292,0,track-168162
3918,130398,64882293,1,track-168163
3918,130398,64882294,0,track-168162
3918,130398,64882295,1,track-168163
3918,130398,64882296,0,track-168162
3918,130398,64882297,1,track-168163
3918,130398,64882299,0,track-168162
3918,130398,64882300,1,track-168163
3918,130398,64882301,0,track-168162
3918,130398,64882302,1,track-168163
3918,130398,64882303,0,track-168162
3918,130398,64882304,1,track-168163
3918,130398,64882305,0,track-168162
3918,130398,64882306,1,track-168163
3918,130398,64882307,0,track-168162
3918,130398,64882308,1,track-168163
3918,130398,64882310,0,track-168162
3918,130398,64882311,1,track-168163
3918,130398,64882312,0,track-168162
3918,130398,64882313,1,track-168163
3918,130398,64882314,0,track-168162
3918,130398,64882315,1,track-168163
3918,130398,64882316,0,track-168162
3918,130398,64882317,1,track-168163
4055,133268,65007020,1,track-168403
4055,133268,65007021,0,track-168402
4055,133268,65007022,1,track-168403
4055,133268,65007023,0,track-168402
4055,133268,65007024,1,track-168403
4055,133268,65007026,0,track-168402
4055,133268,65007027,1,track-168403
4055,133268,65007028,0,track-168402
4055,133268,65007029,1,track-168403
4055,133268,65007030,0,track-168402
4055,133268,65007031,1,track-168403
4055,133268,65007032,0,track-168402
4095,138394,68364129,0,track-178412
4095,138394,68364130,1,track-178413
4095,138394,68364131,0,track-178412
4095,138394,68364132,1,track-178413
4095,138394,68364134,0,track-178412
4095,138394,68364135,1,track-178413
4095,138394,68364136,0,track-178412
4095,138394,68364137,1,track-178413
4095,138394,68364139,0,track-178412
4095,138394,68364140,1,track-178413
4095,138394,68364141,0,track-178412
4095,138394,68364142,1,track-178413
4095,138394,68364144,0,track-178412
4095,138394,68364145,1,track-178413
4095,138394,68364146,0,track-178412
4095,138394,68364148,0,track-178412
4095,138394,68364149,1,track-178413
4095,138394,68364150,0,track-178412
4095,138394,68364151,1,track-178413
4095,138394,68364153,0,track-178412
4095,138394,68364154,1,track-178413
4095,138394,68364156,0,track-178412
4095,138394,68364157,1,track-178413
4095,138394,68364158,0,track-178412
4095,138394,68364159,1,track-178413
4095,138394,68364160,0,track-178412
4095,138394,68364161,1,track-178413
4095,138394,68364163,0,track-178412
4095,138394,68364164,1,track-178413
4095,138394,68364165,0,track-178412
4095,138394,68364167,0,track-178412
4095,138394,68364168,1,track-178413
4095,138394,68364169,0,track-178412
4095,138394,68364170,1,track-178413
4095,138394,68364172,0,track-178412
4095,138394,68364173,1,track-178413
4095,138394,68364174,0,track-178412
4095,138394,68364175,1,track-178413
4095,138394,68364177,0,track-178412
4095,138394,68364178,1,track-178413
4095,138394,68364180,0,track-178412
4095,138394,68364181,1,track-178413
4095,138394,68364182,0,track-178412
4095,138394,68364183,1,track-178413
4095,138394,68364185,0,track-178412
4095,138394,68364186,1,track-178413
4095,138394,68364187,0,track-178412
4095,138394,68364188,1,track-178413
4095,138394,68364190,0,track-178412
4095,138394,68364191,1,track-178413
4095,138394,68364192,0,track-178412
4095,138394,68364193,1,track-178413
4095,138394,68364195,0,track-178412
4095,138394,68364196,1,track-178413
4095,138394,68364198,0,track-178412
4095,138394,68364199,1,track-178413
4095,138394,68364200,0,track-178412
4095,138394,68364201,1,track-178413
4095,138394,68364203,0,track-178412
4095,138394,68364204,1,track-178413
4095,138394,68364205,0,track-178412
4095,138394,68364206,1,track-178413
4095,138394,68364208,0,track-178412
4095,138394,68364209,1,track-178413
4095,138394,68364210,0,track-178412
4095,138394,68364211,1,track-178413
4095,138394,68364213,0,track-178412
4095,138394,68364214,1,track-178413
4095,138394,68364216,1,track-178413
4095,138394,68364217,0,track-178412
4095,138394,68364218,1,track-178413
4095,138394,68364219,0,track-178412
4095,138394,68364220,1,track-178413
4095,138394,68364222,0,track-178412
4095,138394,68364223,1,track-178413
4095,138394,68364224,0,track-178412
4095,138394,68364225,1,track-178413
4095,138394,68364226,0,track-178412
4095,138394,68364227,1,track-178413
223,130895,63868267,0,track-164588
223,130895,63868268,1,track-164589
223,130895,63868269,0,track-164588
223,130895,63868270,1,track-164589
223,130895,63868271,0,track-164588
223,130895,63868272,1,track-164589
223,130895,63868273,0,track-164588
223,130895,63868274,1,track-164589
223,130895,63868275,0,track-164588
223,130895,63868277,1,track-164589
223,130895,63868278,0,track-164588
223,130895,63868279,1,track-164589
223,130895,63868280,0,track-164588
223,130895,63868281,1,track-164589
223,130895,63868282,0,track-164588
223,130895,63868283,1,track-164589
223,130895,63868284,0,track-164588
223,130895,63868286,1,track-164589
223,130895,63868287,0,track-164588
223,130895,63868288,1,track-164589
223,130895,63868289,0,track-164588
223,130895,63868290,1,track-164589
223,130895,63868291,0,track-164588
223,130895,63868292,1,track-164589
223,130895,63868293,0,track-164588
223,130895,63868294,1,track-164589
223,130895,63868295,0,track-164588
223,130895,63868297,0,track-164588
223,130895,63868298,1,track-164589
223,130895,63868299,0,track-164588
223,130895,63868300,1,track-164589
223,130895,63868301,0,track-164588
223,130895,63868302,1,track-164589
223,130895,63868303,0,track-164588
223,130895,63868304,1,track-164589
223,130895,63868305,0,track-164588
223,130895,63868307,1,track-164589
223,130895,63868308,0,track-164588
223,130895,63868309,1,track-164589
223,130895,63868310,0,track-164588
